iter	Passed	Remaining
653	1146833	606734
654	1148475	604922
655	1150066	603083
656	1151753	601296
657	1153385	599480
658	1155030	597671
659	1156720	595886
660	1158328	594059
661	1159958	592244
662	1161504	590387
663	1163064	588538
664	1164671	586714
665	1166348	584925
666	1167997	583123
667	1169557	581277
668	1171227	579486
669	1172839	577667
670	1174443	575844
671	1176068	574033
672	1177720	572235
673	1179371	570437
674	1180964	568612
675	1182718	566864
676	1184348	565058
677	1185986	563255
678	1187740	561509
679	1189434	559733
680	1191074	557933
681	1192720	556136
682	1194495	554399
683	1196271	552663
684	1197965	550889
685	1199600	549088
686	1201229	547284
687	1202966	545531
688	1204600	543731
689	1206310	541965
690	1207957	540172
691	1209621	538386
692	1211227	536575
693	1212953	534818
694	1214683	533062
695	1216325	531268
696	1217991	529485
697	1219688	527716
698	1221327	525922
699	1222961	524126
700	1224612	522338
701	1226306	520568
702	1228726	519106
703	1230347	517305
704	1232013	515523
705	1233760	513775
706	1235434	511997
707	1237062	510200
708	1238773	508438
709	1240399	506641
710	1242009	504839
711	1243690	503065
712	1245506	501346
713	1247160	499562
714	1248803	497774
715	1250446	495987
716	1252133	494217
717	1253778	492430
718	1255611	490718
719	1257310	488954
720	1259081	487217
721	1260786	485455
722	1262436	483671
723	1264120	481902
724	1265798	480130
725	1267442	478346
726	1269144	476583
727	1270826	474814
728	1272550	473060
729	1274194	471277
730	1275820	469488
731	1277456	467702
732	1279074	465911
733	1280735	464135
734	1282420	462369
735	1284098	460600
736	1285729	458815
737	1287364	457031
738	1289019	455255
739	1290705	453491
740	1292386	451724
741	1294119	449976
742	1295839	448224
743	1297536	446464
744	1299205	444694
745	1300886	442929
746	1302620	441181
747	1304248	439399
748	1305876	437616
749	1307452	435817
750	1309042	434023
751	1310602	432219
752	1312201	430430
753	1313784	428635
754	1315357	426837
755	1317035	425075
756	1318753	423325
757	1320380	421546
758	1322108	419799
759	1323746	418025
760	1325456	416273
761	1327273	414555
762	1328916	412782
763	1330597	411022
764	1332296	409267
765	1334038	407525
766	1335645	405743
767	1337309	403978
768	1338971	402213
769	1340590	400436
770	1342182	398650
771	1343813	396877
772	1345448	395105
773	1347075	393332
774	1348759	391575
775	1350377	389799
776	1352071	388046
777	1353694	386272
778	1355370	384514
779	1357031	382752
780	1358767	381011
781	1360401	379242
782	1362035	377473
783	1363804	375742
784	1365530	373998
785	1367265	372258
786	1368945	370502
787	1370819	368799
788	1372844	367135
789	1374797	365452
790	1376725	363761
791	1378803	362109
792	1380972	360480
793	1383094	358838
794	1385675	357312
795	1387357	355553
796	1389166	353827
797	1390896	352081
798	1392659	350343
799	1394383	348595
800	1396064	346837
801	1397641	345053
802	1399273	343283
803	1400928	341519
804	1402635	339768
805	1404260	337998
806	1405898	336230
807	1407553	334468
808	1409283	332723
809	1411047	330986
810	1412731	329230
811	1414412	327474
812	1416142	325730
813	1417918	323996
814	1419704	322264
815	1421544	320544
816	1423493	318848
817	1425266	317113
818	1427244	315422
819	1429011	313685
820	1430658	311921
821	1432325	310162
822	1434134	308434
823	1435821	306680
824	1438182	305068
825	1439840	303307
826	1441550	301557
827	1443295	299814
828	1444967	298057
829	1446696	296311
830	1448403	294560
831	1450149	292818
832	1451939	291085
833	1453791	289363
834	1455485	287610
835	1457328	285887
836	1459166	284162
837	1460923	282421
838	1462625	280670
839	1464364	278926
840	1466211	277202
841	1468576	275576
842	1470225	273814
843	1471904	272058
844	1473759	270334
845	1475683	268623
846	1477517	266895
847	1479298	265157
848	1481050	263414
849	1482773	261665
850	1484363	259894
851	1486024	258135
852	1487758	256389
853	1489442	254635
854	1491169	252888
855	1492890	251140
856	1494860	249434
857	1496536	247678
858	1498169	245916
859	1499891	244168
860	1501503	242402
861	1503163	240645
862	1504887	238898
863	1506596	237149
864	1508335	235404
865	1509988	233647
866	1511559	231877
867	1513255	230126
868	1515097	228397
869	1516744	226639
870	1518343	224875
871	1520011	223121
872	1521775	221380
873	1523522	219638
874	1525263	217894
875	1526975	216147
876	1528651	214394
877	1530490	212664
878	1532150	210910
879	1533957	209175
880	1536054	207480
881	1538207	205791
882	1540081	204065
883	1541913	202332
884	1543895	200619
885	1545699	198882
886	1547590	197156
887	1549789	195468
888	1551841	193762
889	1553762	192038
890	1555710	190316
891	1557637	188592
892	1559518	186862
893	1561475	185141
894	1563494	183426
895	1565363	181693
896	1567326	179971
897	1569286	178248
898	1571115	176510
899	1573163	174795
900	1574922	173049
901	1576750	171309
902	1578450	169556
903	1580193	167808
904	1581982	166064
905	1583666	164309
906	1585293	162549
907	1587042	160801
908	1588692	159044
909	1590336	157286
910	1592054	155535
911	1593675	153775
912	1595593	152044
913	1597711	150331
914	1599622	148598
915	1601876	146896
916	1603803	145164
917	1605587	143418
918	1607490	141683
919	1609710	139974
920	1611668	138243
921	1613584	136507
922	1615547	134774
923	1617372	133030
924	1619093	131277
925	1620809	129524
926	1622544	127773
927	1624275	126021
928	1626207	124284
929	1628116	122546
930	1629996	120805
931	1632200	119087
932	1634355	117365
933	1636259	115624
934	1638361	113896
935	1640331	112159
936	1642371	110426
937	1644458	108695
938	1646338	106950
939	1648108	105198
940	1650023	103455
941	1651733	101699
942	1653438	99942
943	1655414	98202
